Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Jaguars,,luke mccown,placed on ir with torn acl in knee,,,,9/21/2010,
2010,Jaguars,,scotty mcgee,placed on ir with shoulder injury,,,,9/22/2010,
2010,Patriots,,kevin faulk,placed on ir with torn acl in right knee,,,,9/22/2010,
2010,Browns,,d'qwell jackson,placed on ir with pectoral muscle injury,,,,9/25/2010,
2010,Colts,,ramon humber,placed on ir with hand injury,,,,9/27/2010,
2010,Cowboys,,deon anderson,placed on ir,,,,9/27/2010,
2010,Rams,,dominique curry,placed on ir with torn acl in right knee,,,,9/27/2010,
2010,Giants,,michael johnson derrick,placed on ir with back injury,,,,9/28/2010,
2010,Chargers,,james holt b,placed on ir with shoulder injury,,,,9/29/2010,
2010,Chargers,,ryan neill,placed on ir with knee injury,,,,9/29/2010,
2010,Seahawks,,leroy hill,placed on ir with achilles tendon / calf injury,,,,10/1/2010,
2010,Steelers,,dennis dixon,placed on ir with left knee injury,,,,10/2/2010,
2010,Chargers,,jyles tucker,placed on ir with pectoral injury,,,,10/5/2010,
2010,Colts,,devin moore,placed on ir with neck injury,,,,10/5/2010,
2010,Colts,,melvin bullitt,placed on ir with shoulder injury,,,,10/5/2010,
2010,Saints,,chris reis,placed on ir with shoulder injury,,,,10/5/2010,
2010,Rams,,marquis johnson,placed on ir with knee injury,,,,10/6/2010,
2010,Dolphins,,lionel dotson,placed on ir,,,,10/7/2010,
2010,Packers,,morgan burnett,placed on ir with knee injury,,,,10/7/2010,
2010,Redskins,,josh bidwell,placed on ir with right hip injury,,,,10/7/2010,
2010,Titans,,derrick morgan,placed on ir with torn acl in left knee,,,,10/7/2010,
2010,Rams,,mark clayton jermaine,placed on ir with torn patellar tendon in right knee,,,,10/11/2010,
2010,Patriots,,nick kaczur,placed on ir with back injury,,,,10/12/2010,
2010,Rams,,darcy johnson,placed on ir with concussion,,,,10/12/2010,
2010,Chargers,,shawne merriman,placed on ir with calf injury,,,,10/13/2010,
2010,Packers,,derrick martin jerome,placed on ir with knee injury,,,,10/13/2010,
2010,Titans,,colin allred,placed on ir with neck injury,,,,10/13/2010,
2010,Vikings,,cedric griffin,placed on ir with torn acl in right knee,,,,10/13/2010,
2010,Lions,,spencer havner,placed on ir with hamstring injury,,,,10/15/2010,
2010,Giants,,victor cruz,placed on ir with hamstring injury,,,,10/16/2010,
2010,Packers,,nick barnett,placed on ir with wrist injury,,,,10/17/2010,
2010,Packers,,jermichael finley,placed on ir with right knee injury,,,,10/18/2010,
2010,49ers,,curtis taylor,placed on ir with quadriceps injury,,,,10/19/2010,
2010,Broncos,,matthew willis  matt willis,placed on ir with foot injury,,,,10/19/2010,
