Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2015,Eagles,,jacorey shepherd,placed on ir with torn acl in right knee,,,,9/1/2015,
2015,Giants,,bennett jackson,placed on ir with torn acl in right knee,,,,9/1/2015,
2015,Giants,,josh gordy,placed on ir with hip injury,,,,9/1/2015,
2015,Jaguars,,greg jenkins,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Jets,,jace amaro,placed on ir with torn labrum in shoulder,,,,9/1/2015,
2015,Jets,,kevin vickerson,placed on ir with hamstring injury,,,,9/1/2015,
2015,Packers,,jordy nelson,placed on ir with torn acl in right knee,,,,9/1/2015,
2015,Panthers,,kelvin benjamin,placed on ir with torn acl in left knee,,,,9/1/2015,
2015,Patriots,,darryl roberts,placed on ir with wrist injury,,,,9/1/2015,
2015,Patriots,,james develin,placed on ir with fractured tibia in right leg,,,,9/1/2015,
2015,Patriots,,jonathan krause,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Patriots,,josh boyce,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Raiders,,jimmy hall,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Raiders,,menelik watson,placed on ir with torn achilles,,,,9/1/2015,
2015,Rams,,ej gaines,placed on ir with foot injury,,,,9/1/2015,
2015,Redskins,,tony jones c,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Saints,,anthony spencer,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Saints,,pj williams,placed on ir with torn hamstring,,,,9/1/2015,
2015,Seahawks,,brandon cottom,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Seahawks,,triston wade,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Steelers,,garrett hartley,placed on ir with hamstring injury,,,,9/1/2015,
2015,Steelers,,senquez golson,placed on ir with shoulder injury,,,,9/1/2015,
2015,Texans,,reshard cliett,placed on ir with knee injury,,,,9/1/2015,
2015,Titans,,andrew turzilli,placed on ir with ankle injury,,,,9/1/2015,
2015,Titans,,yannik cudjoe-virgil,placed on ir with hamstring injury,,,,9/1/2015,
2015,Vikings,,carter bykowski,placed on ir with torn pectoral muscle,,,,9/1/2015,
2015,Bengals,,onterio mccalebb,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Bills,,tyson chandler,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Browns,,luke lundy,placed on ir with concussion,,,,9/2/2015,
2015,Buccaneers,,josh allen nathanial,placed on ir with ankle injury,,,,9/2/2015,
2015,Buccaneers,,leonard johnson c,placed on ir with ankle injury,,,,9/2/2015,
2015,Buccaneers,,robert herron,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Chargers,,chris davis b,placed on ir with concussion,,,,9/2/2015,
2015,Chargers,,gordon hill,placed on ir with knee injury,,,,9/2/2015,
2015,Chargers,,melvin meggs,placed on ir with foot injury,,,,9/2/2015,
2015,Chargers,,torrence allen,placed on ir with ankle/foot injury,,,,9/2/2015,
2015,Chiefs,,junior hemingway,placed on ir with hip injury,,,,9/2/2015,
2015,Cowboys,,kenneth boatright,"placed on ir with neck, back injury",,,,9/2/2015,
2015,Cowboys,,michael hill,placed on ir with concussion,,,,9/2/2015,
2015,Cowboys,,rj dill,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Giants,,akeem hunt,placed on ir with hamstring injury,,,,9/2/2015,
2015,Giants,,brandon mosley,placed on ir with back injury,,,,9/2/2015,
2015,Jaguars,,matt daniels,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Jets,,dashaun phillips,placed on ir with rib injury,,,,9/2/2015,
2015,Packers,,javess blue,placed on ir with shoulder injury,,,,9/2/2015,
2015,Packers,,jimmie hunt,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Panthers,,davonte wallace,placed on ir with concussion,,,,9/2/2015,
2015,Panthers,,melvin white,placed on ir with hamstring injury,,,,9/2/2015,
2015,Rams,,brad smelley,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Rams,,korey toomer,placed on ir with ankle injury,,,,9/2/2015,
2015,Saints,,nick toon,placed on ir with high ankle sprain,,,,9/2/2015,
2015,Saints,,ronald powell,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Saints,,vinnie sunseri,placed on ir with knee injury,,,,9/2/2015,
2015,Steelers,,cameron clear,placed on ir with knee injury,,,,9/2/2015,
2015,Steelers,,dominique davis  niko davis b,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Steelers,,ray hamilton c,placed on ir with undisclosed injury,,,,9/2/2015,
2015,Texans,,anthony denham,placed on ir with shoulder injury,,,,9/2/2015,
2015,Texans,,terrance parks,placed on ir with hamstring injury,,,,9/2/2015,
2015,Vikings,,mike kafka,placed on ir with hamstring injury,,,,9/2/2015,
2015,49ers,,kendall hunter,placed on ir with knee injury,,,,9/5/2015,
2015,49ers,,rory anderson  busta anderson,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Bears,,anthony jefferson,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Buccaneers,,kenny bell,placed on ir with hamstring injury,,,,9/5/2015,
2015,Buccaneers,,larry english,placed on ir with knee injury,,,,9/5/2015,
2015,Cardinals,,gerald christian,placed on ir with knee injury,,,,9/5/2015,
2015,Chiefs,,richard gordon lee,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Colts,,arthur jones,placed on ir with torn ligaments in left ankle,,,,9/5/2015,
2015,Colts,,junior sylvestre,placed on ir with ankle injury,,,,9/5/2015,
2015,Eagles,,jeff maehl,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Falcons,,collin mooney,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Falcons,,jon asamoah,placed on ir with hip injury,,,,9/5/2015,
2015,Falcons,,travis howard,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Giants,,brett jones,placed on ir with sprained mcl in knee,,,,9/5/2015,
2015,Giants,,nat berhe,placed on ir with calf injury,,,,9/5/2015,
2015,Jaguars,,evander hood  ziggy hood,placed on ir with foot injury,,,,9/5/2015,
2015,Lions,,corey wootton,placed on ir with torn pectoral muscle,,,,9/5/2015,
2015,Lions,,greg salas,placed on ir with knee injury,,,,9/5/2015,
2015,Panthers,,arthur miley,placed on ir with knee injury,,,,9/5/2015,
2015,Raiders,,brandian ross,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Ravens,,zach thompson,placed on ir with concussion,,,,9/5/2015,
2015,Seahawks,,mohammed seisay,placed on ir with shoulder injury,,,,9/5/2015,
2015,Seahawks,,robert turbin,placed on ir with ankle injury,,,,9/5/2015,
2015,Texans,,chad slade,placed on ir with back injury,,,,9/5/2015,
2015,Texans,,tom savage,placed on ir with shoulder injury,,,,9/5/2015,
2015,Titans,,jr tavai,placed on ir with knee injury,,,,9/5/2015,
2015,Titans,,yawin smallwood,placed on ir with undisclosed injury,,,,9/5/2015,
2015,Titans,,zaviar gooden,placed on ir with hamstring injury,,,,9/5/2015,
2015,Bears,,aj cruz,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Bengals,,jayson dimanche,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Bengals,,marquis flowers,placed on ir with shoulder injury,,,,9/6/2015,
2015,Bills,,deonte thompson,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Buccaneers,,garrett gilkey,placed on ir with knee injury,,,,9/6/2015,
2015,Buccaneers,,patrick murray,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Cardinals,,jimmy legree,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Cardinals,,marion grice,placed on ir with shoulder injury,,,,9/6/2015,
2015,Chargers,,colton underwood,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Chargers,,ikechi ariguzo  chi chi ariguzo,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Chiefs,,sanders commings,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Cowboys,,ka'lial glaud,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Cowboys,,rod sweeting,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Dolphins,,christion jones,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Dolphins,,jay ajayi,placed on ir with fractured rib,,,,9/6/2015,
2015,Falcons,,adam replogle,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Falcons,,dj tialavea,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Falcons,,jerome smith,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Jets,,dee milliner,placed on ir with wrist injury,,,,9/6/2015,
2015,Lions,,alex carter rhys,placed on ir with ankle injury,,,,9/6/2015,
2015,Packers,,jermauria rasco,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Packers,,larry pinkard,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Patriots,,ryan groy,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Raiders,,anthony morris,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Ravens,,deangelo tyson,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Ravens,,micajah reynolds,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Redskins,,evan spencer,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Redskins,,jordan campbell,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Steelers,,kelvin palmer,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Steelers,,maurkice pouncey,placed on ir with right leg injury,,,,9/6/2015,
2015,Steelers,,mitchell van dyk,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Texans,,lynden trail,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Texans,,tony washington jr,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Titans,,david cobb,placed on ir with calf injury,,,,9/6/2015,
2015,Vikings,,tyrus thompson,placed on ir with undisclosed injury,,,,9/6/2015,
2015,Giants,,corey washington,placed on ir with shoulder injury,,,,9/6/2015,
2015,Browns,,charles gaines b,placed on ir with hamstring injury,,,,9/7/2015,
2015,Buccaneers,,demar dotson,placed on ir with knee injury,,,,9/7/2015,
2015,Buccaneers,,kadeem edwards,placed on ir with undisclosed injury,,,,9/7/2015,
2015,Colts,,daniel herron  dan herron  boom herron,placed on ir with shoulder injury,,,,9/7/2015,
2015,Raiders,,chimdi chekwa,placed on ir with undisclosed injury,,,,9/7/2015,
2015,Chiefs,,josh martin,placed on ir with concussion,,,,9/8/2015,
2015,Ravens,,brent urban,placed on ir with biceps injury,,,,9/8/2015,
2015,Chiefs,,paul fanaika,placed on ir with herniated disc,,,,9/9/2015,
2015,Patriots,,bryan stork,placed on ir with concussion,,,,9/9/2015,
2015,Cardinals,,ifeanyi momah,placed on ir with knee injury,,,,9/10/2015,
2015,Vikings,,john sullivan c,placed on ir with back injury,,,,9/10/2015,
2015,Cardinals,,rob crisp,placed on ir with undisclosed injury,,,,9/10/2015,
2015,Saints,,davis tull,placed on ir with shoulder injury,,,,9/12/2015,
2015,Bears,,cornelius washington,placed on ir with undisclosed injury,,,,9/14/2015,
2015,Eagles,,david molk,placed on ir with torn right biceps,,,,9/15/2015,
2015,Packers,,sam barrington,placed on ir with right foot injury,,,,9/15/2015,
2015,Raiders,,nate allen b,placed on ir with knee injury,,,,9/15/2015,
2015,Redskins,,duke ihenacho,placed on ir with fractured/dislocated left wrist,,,,9/15/2015,
2015,Saints,,rafael bush,placed on ir with torn pectoral muscle,,,,9/15/2015,
2015,Texans,,ryan griffin francis,placed on ir with sprained mcl in knee,,,,9/15/2015,
2015,Buccaneers,,james-michael johnson,placed on ir with undisclosed injury,,,,9/16/2015,
2015,Colts,,vick ballard,placed on ir with hamstring injury,,,,9/16/2015,
2015,Ravens,,terrell suggs,placed on ir with torn left achilles tendon,,,,9/16/2015,
2015,Panthers,,nate chandler,placed on ir with right knee injury,,,,9/17/2015,
2015,Colts,,d'joun smith,placed on ir with knee injury,,,,9/18/2015,
2015,Packers,,josh boyd,placed on ir with fractured right ankle,,,,9/21/2015,
2015,Cowboys,,terrell mcclain,placed on ir with toe injury,,,,9/22/2015,
2015,Cowboys,,tony romo ramiro,placed on ir with placed on ir with fractured collarbone,,,,9/22/2015,
2015,Jaguars,,rashad greene,placed on ir with right thumb injury,,,,9/22/2015,
2015,Redskins,,martrell spaight,placed on ir with concussion,,,,9/22/2015,
2015,Texans,,jeff adams,placed on ir with torn patellar tendon in right knee,,,,9/26/2015,
2015,Colts,,sheldon price,placed on ir with ankle injury,,,,9/28/2015,
2015,Chargers,,johnnie troutman,placed on ir with fractured forearm,,,,9/29/2015,
2015,Eagles,,andrew gardner,placed on ir with lisfranc tear in right foot,,,,9/29/2015,
2015,Eagles,,cody parkey,placed on ir with torn groin muscle in right leg,,,,9/29/2015,
2015,Panthers,,charles johnson david b 1986-07-10,placed on ir with hamstring injury,,,,9/29/2015,
2015,Redskins,,justin rogers b 1988-01-16,placed on ir with plantar fasciitis in foot,,,,9/29/2015,
2015,Redskins,,shawn lauvao,placed on ir with sprained left ankle,,,,9/29/2015,
2015,Chiefs,,phillip gaines,placed on ir with torn acl in knee,,,,9/30/2015,
2015,Packers,,andrew quarless,placed on ir with knee injury,,,,9/30/2015,
2015,Texans,,carlos thompson,placed on ir with concussion,,,,9/30/2015,
2015,Texans,,mike mohamed,placed on ir with calf injury,,,,9/30/2015,
2015,Ravens,,michael campanaro,placed on ir with back injury,,,,10/3/2015,
2015,Bears,,will montgomery,placed on ir with fractured tibia in left leg,,,,10/6/2015,
2015,Bills,,marqueis gray,placed on ir with forearm injury,,,,10/6/2015,
2015,Buccaneers,,tj fatinikun,placed on ir with knee injury,,,,10/6/2015,
2015,Falcons,,devin hester,placed on ir with toe injury,,,,10/6/2015,
2015,Jaguars,,brandon linder,placed on ir with torn labrum in left shoulder,,,,10/6/2015,
2015,Colts,,jalil brown,placed on ir with ankle / groin injury,,,,10/7/2015,
2015,Giants,,daniel fells,placed on ir with staph infection in ankle,,,,10/7/2015,
2015,Lions,,tyrunn walker,"placed on ir with dislocated ankle, fractured leg",,,,10/7/2015,
2015,Buccaneers,,josh martin,placed on ir with hamstring injury,,,,10/8/2015,
2015,Cowboys,,lance dunbar,"placed on ir with torn acl, mcl in left knee",,,,10/10/2015,
2015,Seahawks,,tharold simon,placed on ir with dislocated toe,,,,10/10/2015,
2015,Bears,,jacquizz rodgers,placed on ir with fractured right arm,,,,10/12/2015,
2015,Bills,,cierre wood,placed on ir with torn acl in knee,,,,10/12/2015,
2015,Jaguars,,john lotulelei,placed on ir with concussion,,,,10/12/2015,
2015,Cardinals,,chris clemons donovan,placed on ir with hamstring injury,,,,10/13/2015,
2015,Cardinals,,kenny demens,placed on ir with torn acl in knee,,,,10/13/2015,
2015,Chiefs,,jamaal charles,placed on ir with torn acl in right knee,,,,10/13/2015,
2015,Ravens,,will davis,placed on ir with torn acl in knee,,,,10/13/2015,
2015,Browns,,scott solomon,placed on ir with knee injury,,,,10/14/2015,
2015,Colts,,tyler varga,placed on ir with concussion,,,,10/14/2015,
2015,Packers,,sean richardson,placed on ir with neck injury,,,,10/14/2015,
2015,Patriots,,nate solder,placed on ir with torn right biceps,,,,10/14/2015,
2015,Ravens,,lorenzo taliaferro,placed on ir with foot injury,,,,10/14/2015,
2015,Rams,,rodger saffold,placed on ir with right shoulder injury,,,,10/15/2015,
2015,Bears,,ego ferguson,placed on ir with knee injury,,,,10/17/2015,
2015,Chargers,,darius philon,placed on ir with hip injury,,,,10/17/2015,
2015,Patriots,,tarell brown,placed on ir with foot injury,,,,10/17/2015,
2015,Titans,,deiontrez mount,placed on ir with knee injury,,,,10/17/2015,
2015,Steelers,,kelvin beachum,placed on ir with torn acl in left knee,,,,10/19/2015,
2015,Texans,,lonnie ballentine,placed on ir with knee injury,,,,10/19/2015,
2015,Bills,,marquise goodwin,placed on ir with rib injury,,,,10/20/2015,
2015,Jaguars,,corey grant,placed on ir with hip flexor injury,,,,10/20/2015,
2015,Jaguars,,tony washington b,placed on ir with hip flexor injury,,,,10/20/2015,
2015,Lions,,zach zenner,"placed on ir wit cracked ribs, lung injury",,,,10/20/2015,
2015,Raiders,,justin tuck lee,placed on ir with torn pectoral muscle,,,,10/20/2015,
2015,Seahawks,,brock coyle,placed on ir with knee injury,,,,10/20/2015,
2015,Titans,,brian schwenke,placed on ir with dislocated left ankle,,,,10/20/2015,
2015,Vikings,,shamar stephen,placed on ir with knee / toe injury,,,,10/21/2015,
2015,49ers,,antoine bethea,placed on ir with shoulder injury,,,,10/23/2015,
2015,Panthers,,richie brockel,placed on ir with hamstring injury,,,,10/23/2015,
2015,Steelers,,cortez allen,placed on ir with knee injury,,,,10/24/2015,
2015,Jets,,jaiquawn jarrett,placed on ir with knee injury,,,,10/26/2015,
2015,Buccaneers,,louis murphy jr,placed on ir with torn acl in right knee,,,,10/27/2015,
2015,Rams,,alec ogletree,placed on ir with fractured fibula in leg,,,,10/27/2015,
2015,Texans,,arian foster,placed on ir with torn right achilles tendon,,,,10/27/2015,
2015,Vikings,,jabari price,placed on ir with shoulder injury,,,,10/27/2015,
2015,Ravens,,darren waller,placed on ir with hamstring injury,,,,10/28/2015,
2015,Buccaneers,,reid fragel,placed on ir with concussion,,,,11/2/2015,
2015,Dolphins,,cameron wake,placed on ir with torn left achilles tendon,,,,11/2/2015,
2015,Jets,,chris owusu,placed on ir with concussion,,,,11/2/2015,
2015,Steelers,,le'veon bell,placed on ir with right knee injury,,,,11/2/2015,
2015,49ers,,reggie bush,placed on ir with torn mcl in knee,,,,11/3/2015,
2015,Broncos,,ty sambrailo,placed on ir with shoulder injury,,,,11/3/2015,
2015,Buccaneers,,clinton mcdonald,placed on ir with pectoral muscle injury,,,,11/3/2015,
2015,Chargers,,branden oliver,placed on ir with turf toe,,,,11/3/2015,
2015,Chargers,,keenan allen,placed on ir with lacerated kidney,,,,11/3/2015,
2015,Chargers,,tourek williams,placed on ir with fractured foot,,,,11/3/2015,
2015,Saints,,khiry robinson,placed on ir with fractured tibia in leg,,,,11/3/2015,
