player_season_name,season,ir_name,fuzzy_score
courtland sutton,2018,courtland sutton,100
antonio gates,2018,antonio gates,100
calvin ridley,2019,calvin ridley,100
albert wilson,2019,albert wilson,100
jacob hollister,2019,jacob hollister,100
chris godwin,2019,chris godwin,100
trey quinn,2019,trey quinn,100
olabisi johnson,2019,olabisi johnson,100
hunter renfrow,2019,hunter renfrow,100
allen lazard,2019,allen lazard,100
marquise brown,2019,marquise brown,100
adam thielen,2019,adam thielen,100
allen hurns,2019,allen hurns,100
cooper kupp,2019,cooper kupp,100
danny amendola,2019,danny amendola,100
tyler lockett,2019,tyler lockett,100
josh reynolds,2019,josh reynolds,100
randall cobb,2019,randall cobb,100
nick boyle,2019,nick boyle,100
dede westbrook,2019,dede westbrook,100
brandin cooks,2019,brandin cooks,100
diontae johnson,2019,diontae johnson,100
mark andrews,2019,mark andrews,100
jamison crowder,2019,jamison crowder,100
tyler higbee,2019,tyler higbee,100
kendrick bourne,2019,kendrick bourne,100
breshad perriman,2019,breshad perriman,100
zach ertz,2019,zach ertz,100
evan engram,2019,evan engram,100
jonnu smith,2019,jonnu smith,100
russell gage,2019,russell gage,100
demaryius thomas,2019,demaryius thomas,100
curtis samuel,2019,curtis samuel,100
auden tate,2019,auden tate,100
deebo samuel,2019,deebo samuel,100
eric ebron,2019,eric ebron,100
damiere byrd,2019,damiere byrd,100
sterling shepard,2019,sterling shepard,100
marquez valdes-scantling,2019,marquez valdes-scantling,100
julian edelman,2019,julian edelman,100
jarvis landry,2019,jarvis landry,100
geronimo allison,2019,geronimo allison,100
kyle rudolph,2019,kyle rudolph,100
dallas goedert,2019,dallas goedert,100
jimmy graham,2019,jimmy graham,100
michael gallup,2019,michael gallup,100
julio jones,2019,julio jones,100
adam humphries,2019,adam humphries,100
hunter henry,2019,hunter henry,100
tyler boyd,2019,tyler boyd,100
josh gordon,2019,josh gordon,100
cameron brate,2019,cameron brate,100
jack doyle,2019,jack doyle,100
keenan allen,2019,keenan allen,100
travis kelce,2019,travis kelce,100
tyler eifert,2019,tyler eifert,100
darren waller,2019,darren waller,100
sammy watkins,2019,sammy watkins,100
greg olsen,2019,greg olsen,100
vance mcdonald,2019,vance mcdonald,100
mohamed sanu,2019,mohamed sanu,100
george kittle,2019,george kittle,100
emmanuel sanders,2019,emmanuel sanders,100
courtland sutton,2019,courtland sutton,100
devante parker,2019,devante parker,100
deandre hopkins,2019,deandre hopkins,100
chris conley,2019,chris conley,100
tyrell williams,2019,tyrell williams,100
jared cook,2019,jared cook,100
juju smith-schuster,2019,juju smith-schuster,100
alshon jeffery,2019,alshon jeffery,100
stefon diggs,2019,stefon diggs,100
preston williams,2019,preston williams,100
dawson knox,2019,dawson knox,100
darnell mooney,2020,darnell mooney,100
marquise brown,2020,marquise brown,100
braxton berrios,2020,braxton berrios,100
cam sims,2020,cam sims,100
deebo samuel,2020,deebo samuel,100
curtis samuel,2020,curtis samuel,100
brandin cooks,2020,brandin cooks,100
danny amendola,2020,danny amendola,100
hunter renfrow,2020,hunter renfrow,100
jakeem grant,2020,jakeem grant,100
emmanuel sanders,2020,emmanuel sanders,100
hayden hurst,2020,hayden hurst,100
jalen reagor,2020,jalen reagor,100
eric ebron,2020,eric ebron,100
sterling shepard,2020,sterling shepard,100
randall cobb,2020,randall cobb,100
chris godwin,2020,chris godwin,100
dallas goedert,2020,dallas goedert,100
cooper kupp,2020,cooper kupp,100
mecole hardman,2020,mecole hardman,100
deandre hopkins,2020,deandre hopkins,100
jared cook,2020,jared cook,100
tyler eifert,2020,tyler eifert,100
jarvis landry,2020,jarvis landry,100
dan arnold,2020,dan arnold,100
allen lazard,2020,allen lazard,100
trey burton,2020,trey burton,100
kendrick bourne,2020,kendrick bourne,100
tyler lockett,2020,tyler lockett,100
jalen guyton,2020,jalen guyton,100
evan engram,2020,evan engram,100
julio jones,2020,julio jones,100
adam thielen,2020,adam thielen,100
robert tonyan,2020,robert tonyan,100
juju smith-schuster,2020,juju smith-schuster,100
chris herndon,2020,chris herndon,100
calvin ridley,2020,calvin ridley,100
jamison crowder,2020,jamison crowder,100
breshad perriman,2020,breshad perriman,100
tyler boyd,2020,tyler boyd,100
ceedee lamb,2020,ceedee lamb,100
zach ertz,2020,zach ertz,100
drew sample,2020,drew sample,100
greg ward,2020,greg ward,100
